19-Jun-19,59:08.1,2528.359711,4399.374092,-4325.36095,-6.59629,0.455033,-3.398214,,
19-Jun-19,00:15.2,2079.222914,4418.818807,-4539.816731,-6.799992,0.125277,-2.998057,,
19-Jun-19,01:22.3,1617.111531,4416.177367,-4727.051589,-6.966205,-0.203664,-2.579425,,
19-Jun-19,02:29.3,1145.630933,4391.584343,-4885.512739,-7.093559,-0.529451,-2.145794,,
19-Jun-19,03:36.2,668.051364,4345.422279,-5014.195612,-7.18132,-0.850119,-1.700418,,
19-Jun-19,04:43.0,186.284737,4278.058773,-5112.678654,-7.229269,-1.164685,-1.245315,,
19-Jun-19,05:49.9,-297.515699,4189.875344,-5180.504087,-7.237163,-1.472022,-0.782724,,
19-Jun-19,06:56.7,-780.378243,4081.460131,-5217.22942,-7.204891,-1.770522,-0.315683,,
19-Jun-19,08:03.5,-1259.559102,3953.478145,-5222.667549,-7.132619,-2.058789,0.152958,,
19-Jun-19,09:10.3,-1732.604864,3806.603913,-5196.81111,-7.020677,-2.335647,0.620613,,
19-Jun-19,10:17.1,-2196.737287,3641.694609,-5139.838883,-6.86967,-2.59977,1.084358,,
19-Jun-19,11:23.9,-2649.271133,3459.695226,-5052.145467,-6.680451,-2.849936,1.541333,,
19-Jun-19,12:30.7,-3088.004959,3261.446001,-4934.210808,-6.453887,-3.085227,1.989149,,
19-Jun-19,13:37.5,-3510.551192,3047.929498,-4786.695031,-6.191093,-3.304645,2.42522,,
19-Jun-19,14:44.2,-3914.137422,2820.455842,-4610.633538,-5.893725,-3.507032,2.846535,,
19-Jun-19,15:51.0,-4296.555327,2580.191739,-4407.115406,-5.563407,-3.691565,3.250638,,
19-Jun-19,16:57.8,-4656.199541,2327.989194,-4177.041708,-5.201405,-3.857727,3.635705,,
19-Jun-19,18:04.6,-4991.013756,2065.043797,-3921.679486,-4.809531,-4.004794,3.999425,,
19-Jun-19,19:11.4,-5298.538108,1793.080141,-3642.948996,-4.390519,-4.131917,4.339016,,
19-Jun-19,20:18.2,-5577.08678,1513.435504,-3342.531985,-3.94666,-4.238628,4.652503,,
19-Jun-19,21:25.1,-5825.656542,1226.814211,-3021.479157,-3.479297,-4.324726,4.938678,,
19-Jun-19,22:32.2,-6042.755935,934.417873,-2681.408024,-2.990599,-4.389811,5.195793,,
19-Jun-19,23:39.3,-6226.49441,638.334925,-2325.085002,-2.484334,-4.433433,5.421572,,
19-Jun-19,24:46.4,-6375.703928,340.178374,-1954.869312,-1.963627,-4.455466,5.614525,,
19-Jun-19,25:53.4,-6489.628736,41.134427,-1572.672028,-1.430944,-4.455915,5.773641,,
19-Jun-19,27:00.5,-6567.446158,-256.916032,-1181.366964,-0.890069,-4.434895,5.897747,,
19-Jun-19,28:07.5,-6608.809092,-552.874504,-782.891218,-0.343457,-4.392604,5.986276,,
19-Jun-19,29:14.5,-6613.429562,-845.297818,-379.683992,0.205765,-4.329337,6.038677,,
19-Jun-19,30:21.5,-6581.282205,-1132.52903,25.445761,0.753989,-4.245567,6.054629,,
19-Jun-19,31:19.2,-6524.150623,-1375.229647,374.782275,1.223983,-4.157191,6.039085,,
19-Jun-19,32:18.9,-6436.723039,-1620.233471,734.022348,1.704788,-4.050563,5.994584,,
19-Jun-19,33:25.8,-6304.958333,-1886.573748,1132.226276,2.234861,-3.913203,5.910669,,
19-Jun-19,34:32.7,-6138.093453,-2143.172939,1523.71634,2.753103,-3.757588,5.791231,,
19-Jun-19,35:39.5,-5937.067912,-2388.759869,1906.022803,3.256426,-3.584565,5.637022,,
19-Jun-19,36:46.4,-5703.02471,-2622.160609,2276.787095,3.741906,-3.395055,5.449024,,
19-Jun-19,37:53.3,-5437.071554,-2842.458036,2634.034952,4.207128,-3.189878,5.22824,,
19-Jun-19,39:00.2,-5140.398126,-3048.77108,2975.846768,4.649749,-2.96987,4.975769,,
19-Jun-19,40:07.2,-4814.693203,-3240.021823,3299.962612,5.066996,-2.736178,4.693176,,
19-Jun-19,41:14.3,-4461.945299,-3415.19627,3604.194559,5.456199,-2.490084,4.382328,,
19-Jun-19,42:21.3,-4083.792906,-3573.622552,3886.928537,5.815429,-2.232566,4.044824,,
19-Jun-19,43:28.5,-3681.731066,-3714.720921,4146.732153,6.142986,-1.964475,3.682146,,
19-Jun-19,44:35.8,-3258.134828,-3837.672974,4381.737665,6.43662,-1.687208,3.296584,,
19-Jun-19,45:43.1,-2816.334535,-3941.628168,4589.948954,6.693938,-1.402716,2.891339,,
